Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Batuhan,2024-08-31 17:53:41,00:00:08,Autoplayed: user action: None; ,Lucifer: Season 2: God Johnson (Episode 16),,Sony PS5,00:00:56,Not latest view,TR (Turkey)
Batuhan,2024-08-31 17:37:52,00:14:52,,Lucifer: Season 2: Deceptive Little Parasite (Episode 15),,Sony PS5,00:43:05,00:43:05,TR (Turkey)
Batuhan,2024-08-31 16:22:32,00:27:34,,Lucifer: Season 2: Deceptive Little Parasite (Episode 15),,Sony PS5,00:28:25,Not latest view,TR (Turkey)
Batuhan,2024-08-31 15:37:06,00:42:04,,Lucifer: Season 2: Candy Morningstar (Episode 14),,Sony PS5,00:42:48,00:42:48,TR (Turkey)
Batuhan,2024-08-31 15:02:22,00:34:01,,Lucifer: Season 2: A Good Day to Die (Episode 13),,Sony PS5,00:43:01,00:43:01,TR (Turkey)
Batuhan,2024-08-31 15:01:56,00:00:05,,Lucifer: Season 2: Stewardess Interruptus (Episode 11),,Sony PS5,00:00:53,00:00:53,TR (Turkey)
Batuhan,2024-08-31 13:24:35,00:08:02,,Lucifer: Season 2: A Good Day to Die (Episode 13),,Sony PS5,00:08:59,Not latest view,TR (Turkey)
Batuhan,2024-08-31 12:15:49,00:43:22,Autoplayed: user action: User_Interaction; ,Lucifer: Season 2: Love Handles (Episode 12),,Sony PS5,00:43:19,00:43:19,TR (Turkey)
Batuhan,2024-08-31 12:01:35,00:14:13,Autoplayed: user action: User_Interaction; ,Lucifer: Season 2: Stewardess Interruptus (Episode 11),,Sony PS5,00:42:34,Not latest view,TR (Turkey)
Batuhan,2024-08-31 12:01:29,00:00:01,Autoplayed: user action: None; ,KAOS: Season 1: Episode 1,,Sony PS5,00:00:01,00:00:01,TR (Turkey)
Batuhan,2024-08-31 12:01:23,00:00:01,,KAOS: Season 1: Episode 1,,Sony PS5,00:00:01,Not latest view,TR (Turkey)
Batuhan,2024-08-31 11:59:02,00:01:29,Autoplayed: user action: None; ,Enhanced Clip 3: KAOS,HOOK,Sony PS5,00:01:29,00:01:29,TR (Turkey)
Batuhan,2024-08-31 02:04:27,00:00:13,Autoplayed: user action: None; ,The Gentlemen: Season 1: Tackle Tommy Woo Woo (Episode 2),,Sony PS5,00:00:18,00:00:18,TR (Turkey)
Batuhan,2024-08-31 00:52:22,01:05:16,Autoplayed: user action: User_Interaction; ,The Gentlemen: Season 1: Refined Aggression (Episode 1),,Sony PS5,01:03:55,01:03:55,TR (Turkey)
Batuhan,2024-08-31 00:51:19,00:00:04,Autoplayed: user action: None; ,Breaking Bad: Season 1_hook_01_16x9,HOOK,Sony PS5,00:00:04,00:00:04,TR (Turkey)
Batuhan,2024-08-31 00:49:33,00:01:17,Autoplayed: user action: User_Interaction; ,Lucifer: Season 2: Stewardess Interruptus (Episode 11),,Sony PS5,00:28:23,Not latest view,TR (Turkey)
